Case,Method,ECE,Brier,Lambda
PortalVein_001,Raw,0.0006830430694680249,0.0007805760833434761,-
PortalVein_001,TS (T=1.58),0.00030201375580739926,0.0007295127275986,-
PortalVein_001,HL-PH Halo,0.0006821021833313063,0.0007804347551427782,0.1
PortalVein_001,HL-PH Halo,0.0006778142849850283,0.0007799597806297243,0.5
PortalVein_001,HL-PH Halo,0.0006726740438171877,0.0007795719429850578,1.0
PortalVein_001,HL-PH Halo,0.0006624540474935402,0.0007794832927174866,2.0
PortalVein_001,HL-PH Halo,0.0006573649934305532,0.0007847059168852866,5.0
PortalVein_001,HL-PH Halo,0.0006852415307567716,0.0008084554574452341,10.0
Vessel12_01,Raw,0.02219230377351026,0.019193077459931374,-
Vessel12_01,TS (T=1.57),0.028681959134605455,0.01811243936507071,-
Vessel12_01,HL-PH Halo,0.022164412706268795,0.01917348988354206,0.1
Vessel12_01,HL-PH Halo,0.022052638214619804,0.019099965691566467,0.5
Vessel12_01,HL-PH Halo,0.02191288805223393,0.019018666818737984,1.0
Vessel12_01,HL-PH Halo,0.021633649182364604,0.01889176107943058,2.0
Vessel12_01,HL-PH Halo,0.02083618984026963,0.018751295283436775,5.0
Vessel12_01,HL-PH Halo,0.01991467223213441,0.01877199113368988,10.0
