Dataset,Method,ECE,Brier,Lambda
Lung (Vessel12),Raw,0.02219230377351026,0.019193077459931374,-
Lung (Vessel12),TS (T=1.58),0.02885716636658704,0.01810283893667351,-
Lung (Vessel12),TS + UQ Combined,0.028585915925097342,0.01795697409423693,0.5
Lung (Vessel12),TS + UQ Combined,0.028314666878952295,0.01789352000425942,1.0
Lung (Vessel12),TS + UQ Combined,0.027999363573098082,0.017832481122198752,2.0
Lung (Vessel12),TS + UQ Combined,0.027445490534791075,0.01776785306703059,5.0
Vessel (PortalVein),Raw,0.0006830430694680249,0.0007805760833434761,-
Vessel (PortalVein),TS (T=1.57),0.0003095091409053423,0.0007299208070101234,-
Vessel (PortalVein),TS + UQ Combined,0.0003104303117818632,0.0007309670778842402,0.5
Vessel (PortalVein),TS + UQ Combined,0.0003161010067847242,0.0007348108185342399,1.0
Vessel (PortalVein),TS + UQ Combined,0.0003194968177204629,0.0007377879371669569,2.0
Vessel (PortalVein),TS + UQ Combined,0.0003273179711013662,0.0007434673228842194,5.0
